first_name,last_name,department,job_title,email,phone
Michael,Scott,Education,Regional Manager,michael.scott@example.com,+1-555-0100
Dwight,Schrute,Sales,Assistant to the Regional Manager,dwight.schrute@example.com,+1-555-0101
Jim,Halpert,Sales,Sales Representative,jim.halpert@example.com,+1-555-0102
Pam,Beesly,Reception,Receptionist,pam.beesly@example.com,+1-555-0103
Ryan,Howard,Temps,Temp,ryan.howard@example.com,+1-555-0104
Andy,Bernard,Sales,Sales Representative,andy.bernard@example.com,+1-555-0105
Robert,California,Corporate,CEO,robert.california@example.com,+1-555-0106
Stanley,Hudson,Sales,Sales Representative,stanley.hudson@example.com,+1-555-0107
Kevin,Malone,Accounting,Accountant,kevin.malone@example.com,+1-555-0108
Angela,Martin,Accounting,Accountant,angela.martin@example.com,+1-555-0109
Oscar,Martinez,Accounting,Accountant,oscar.martinez@example.com,+1-555-0110
Phyllis,Vance,Sales,Sales Representative,phyllis.vance@example.com,+1-555-0111
Toby,Flenderson,HR,HR Representative,toby.flenderson@example.com,+1-555-0112
Kelly,Kapoor,Customer Service,Customer Service Representative,kelly.kapoor@example.com,+1-555-0113
Darryl,Philbin,Warehouse,Warehouse Foreman,darryl.philbin@example.com,+1-555-0114
Creed,Bratton,Quality Assurance,Quality Assurance,creed.bratton@example.com,+1-555-0115
Meredith,Palmer,Supplier Relations,Supplier Relations,meredith.palmer@example.com,+1-555-0116
Erin,Hannon,Reception,Receptionist,erin.hannon@example.com,+1-555-0117
Gabe,Lewis,Corporate,Coordinating Director of Emerging Regions,gabe.lewis@example.com,+1-555-0118
Jan,Levinson,Corporate,Vice President of Northeast Sales,jan.levinson@example.com,+1-555-0119
David,Wallace,Corporate,CFO,david.wallace@example.com,+1-555-0120
Holly,Flax,HR,HR Representative,holly.flax@example.com,+1-555-0121
Charles,Miner,Corporate,Vice President of the Northeast Region,charles.miner@example.com,+1-555-0122
Jo,Bennett,Corporate,CEO of Sabre,jo.bennett@example.com,+1-555-0123
Clark,Green,Sales,Sales Representative,clark.green@example.com,+1-555-0124
Pete,Miller,Customer Service,Customer Service Representative,pete.miller@example.com,+1-555-0125
